analysis_id,bxl32zi0mb25wg4
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.8132985
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Stk35
gene_accession_id,MGI:1914583
parameter_id,MGP_MLN_066_001
