parameter_name,Periphery resting time
gene_accession_id,MGI:1915087
mouse_strain,C57BL
analysis_id,3485bwe0n3w054l
mouse_life_stage,E9.5
gene_symbol,Tiprl
pvalue,0.3081569
parameter_id,HRWLLA_OFD_011_001
