analysis_id,5566f0zeb065zg7
parameter_id,M-G-P_026_001_004
gene_symbol,Bcs1l
parameter_name,Coat colouration
mouse_strain,C57BL
pvalue,0.6076544
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
