parameter_id,TCPLA_XRY_033_001
pvalue,0.8506589
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,w85tw5h8ud52v1w
gene_accession_id,MGI:1914437
parameter_name,Tibia length
gene_symbol,Zmynd19
