gene_symbol,Ints7
analysis_id,1z98wqpq1pd5a73
pvalue,0.6118311
gene_accession_id,MGI:1924315
parameter_id,IMPC_EYE_026_001
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
mouse_strain,C57BL
