analysis_id,528xd6n5q37u3h8
mouse_life_stage,Early adult
gene_symbol,Alkbh3
pvalue,0.561767
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1916363
parameter_name,Fat/Body weight
