parameter_name,Centre permanence time
analysis_id,39k4pl125k98492
pvalue,0.09433718
gene_symbol,Tiprl
mouse_strain,C57BL
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
parameter_id,ESLIM_007_001_012
