parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
mouse_strain,C57BL
pvalue,0.5255911
analysis_id,n75l11914u8g02b
mouse_life_stage,Early adult
