parameter_name,Aggression
mouse_strain,C57BL
gene_symbol,Mms22l
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
analysis_id,6xjumu64fjfic87
pvalue,0.8794253
