gene_symbol,Kif24
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:1918345
analysis_id,2xj1495350307bd
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.5132168
mouse_life_stage,Early adult
