analysis_id,593g06n2z6b478o
mouse_strain,129SV
parameter_id,CCP_LFO_001_001
pvalue,0.5035077
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,Weight
