Mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:1913483
Analysis_id,4o4wilf66s66p11
Gene_symbol,Dmap1
Mouse_strain,C57BL
Pvalue,0.5231193
Parameter_name,Humerus
