parameter_name,Lean mass
mouse_life_stage,E12.5
analysis_id,5564sd9vt0b6x94
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
pvalue,0.7148108
