gene_symbol,Galk2
mouse_strain,C57BL
parameter_id,MGP_CSD_030_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1917226
parameter_name,Limb coat/hair presence
analysis_id,tj7z6s7415f7u1j
pvalue,0.8403981
