gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
mouse_strain,C57BL
parameter_name,Neutrophils
analysis_id,3x6h9a4ar81uk7b
pvalue,0.5752204
gene_accession_id,MGI:1913576
