analysis_id,0862572ln95xg0a
pvalue,0.6029173
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
mouse_strain,129SV
parameter_name,Time mobile light side
gene_symbol,Zmynd8
