parameter_name,White blood cell-count
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slx4ip
pvalue,0.4386038
analysis_id,1nkv0883053mc81
gene_accession_id,MGI:1921493
parameter_id,M-G-P_016_001_001
