parameter_name,Response amplitude - S
analysis_id,6b3v0z6favhzvd5
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_life_stage,Early adult
pvalue,0.6878542
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
