analysis_id,i8qwe80869bb6xi
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_name,End-Systolic Diameter
pvalue,0.5451661
mouse_strain,B6J
mouse_life_stage,Early adult
