gene_symbol,Cisd2
gene_accession_id,MGI:1914256
pvalue,0.8360062
analysis_id,29o93c659mbqtn1
parameter_name,Cholesterol ratio
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
