analysis_id,8cz9657mwe2v3pr
gene_symbol,Sfpq
parameter_id,MGP_CSD_030_001
pvalue,0.6915928
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:1918764
