gene_symbol,Ssr2
parameter_id,IMPC_FEA_107_001
pvalue,0.8548149
gene_accession_id,MGI:1913506
analysis_id,230j24gi4px479n
mouse_life_stage,Early adult
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
