parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
parameter_name,Center average speed
analysis_id,87uak0dfg89n3pi
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
pvalue,0.5623961
