analysis_id,lq4mhr69x5u9s9r
pvalue,0.2843426
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,MGP_IMM_101_001
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
