gene_symbol,Galk2
parameter_name,Lean mass
gene_accession_id,MGI:1917226
analysis_id,vdie8rlo79mtxe6
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
pvalue,1.230577
mouse_life_stage,Early adult
