parameter_name,Light side time spent
gene_accession_id,MGI:1339969
gene_symbol,Gja10
analysis_id,lq8ptr88m1locfk
mouse_life_stage,Early adult
pvalue,0.8846807
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
