analysis_id,to5278cn33w96c1
mouse_strain,C57BL
gene_accession_id,MGI:88461
gene_symbol,Col6a3
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
pvalue,0.1271176
mouse_life_stage,Early adult
