parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
gene_symbol,Slc30a4
pvalue,0.98352
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ulti0je37965yi3
gene_accession_id,MGI:1345282
