analysis_id,8e1614ubq0g65ad
mouse_life_stage,Early adult
pvalue,0.2597076
gene_accession_id,MGI:1338022
gene_symbol,Opn3
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
