analysis_id,446p4p894b407xc
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.2303039
gene_symbol,Snap23
parameter_name,Glucose response AUC
mouse_strain,C57BL
