analysis_id,6n6d843zzkez149
parameter_name,ST
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1913284
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.8270862
