analysis_id,6u4ybl04b1fc064
pvalue,0.6582355
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
