parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
gene_symbol,Steap3
mouse_life_stage,Early adult
analysis_id,7aae5oto03n2355
gene_accession_id,MGI:1915678
pvalue,0.8289333
