parameter_name,Follicular B Cells (CD21/35+)
analysis_id,9v2c7r22cfvon91
gene_accession_id,MGI:104848
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Inpp1
pvalue,0.2071692
