analysis_id,gz0519b1790l9y9
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_id,MGP_IMM_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
pvalue,0.1265923
