parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
gene_symbol,Trdmt1
analysis_id,22f6hknlm80iv48
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
pvalue,0.8929111
mouse_strain,C57BL
