parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
analysis_id,1541e56h4d454b0
gene_symbol,Bach2
pvalue,0.4485471
parameter_name,Tibia length
mouse_strain,C57BL
