analysis_id,53dgpf2067adbm9
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
parameter_id,IMPC_HEM_039_001
mouse_strain,C57BL
pvalue,0.3932862
gene_symbol,Dmap1
parameter_name,Large Unstained Cell (LUC) count
