gene_symbol,Sla2
pvalue,0.1499316
analysis_id,3mh8rexowb065fp
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
mouse_life_stage,Early adult
parameter_name,Calcium
gene_accession_id,MGI:1925049
