analysis_id,l5bn4t1lpho0994
parameter_id,MGP_PBI_003_001
mouse_life_stage,E9.5
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:1328306
mouse_strain,C57BL
gene_symbol,Orc2
pvalue,0.9803132
