gene_symbol,Hspa5
mouse_strain,C57BL
analysis_id,dk5i0037mns3e23
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.8884284
parameter_id,MGP_MLN_021_001
