parameter_id,JAXLA_OFD_017_001
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
parameter_name,Center average speed
mouse_strain,C57BL
analysis_id,1wd0kw8l9x8962o
pvalue,0.5759289
gene_symbol,Zyg11b
