gene_symbol,Cd52
mouse_strain,C57BL
gene_accession_id,MGI:1346088
parameter_id,ESLIM_011_001_010
mouse_life_stage,Early adult
parameter_name,PP4 + pulse startle magnitude
analysis_id,294fl6s78cy2c45
pvalue,0.6342732
