parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
pvalue,0.2471461
gene_symbol,Rab3gap2
analysis_id,uy4776y27bhjm82
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
mouse_strain,C57BL
