analysis_id,j4s4489v73xy499
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
mouse_life_stage,E9.5
parameter_name,6kHz-evoked ABR Threshold
gene_symbol,Orc2
pvalue,0.6063535
