analysis_id,78e8c0w294j26h7
mouse_life_stage,Early adult
pvalue,0.9782448
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
parameter_name,LVIDd
