parameter_name,Time mobile light side
gene_symbol,Lamb3
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,03ij061gsi4h8dw
pvalue,0.2873699
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:99915
