analysis_id,m62585f97fma63s
parameter_name,B1B Cells
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1064963
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:2685266
