parameter_name,ST
gene_symbol,Fpgs
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
analysis_id,09330owv8gtd98l
pvalue,0.4571815
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
