gene_symbol,Usp37
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.09503099
analysis_id,71908ull64z6k66
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_id,M-G-P_005_001_004
mouse_life_stage,Early adult
