parameter_name,Shape of vertebrae
analysis_id,7na177qh6l89i91
mouse_life_stage,Early adult
pvalue,0.6580708
gene_accession_id,MGI:1914944
mouse_strain,C57BL
gene_symbol,Ift74
parameter_id,IMPC_XRY_018_001
