gene_symbol,Stk35
parameter_name,Heart looping
gene_accession_id,MGI:1914583
pvalue,0.09084487
parameter_id,IMPC_GEL_057_001
analysis_id,o2s49ww7t2o1q6m
mouse_life_stage,Early adult
mouse_strain,C57BL
