analysis_id,6800jx3380lfi24
parameter_name,Vitreous
mouse_life_stage,E12.5
gene_symbol,Wars2
parameter_id,UCDLA_EYE_083_001
gene_accession_id,MGI:1917810
pvalue,0.6013981
mouse_strain,C57BL
