parameter_name,lens
mouse_strain,C57BL
analysis_id,sf4ojep6vnn818j
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_009
pvalue,0.6230137
gene_symbol,Car13
