parameter_name,Click-evoked ABR threshold
gene_symbol,Psmd14
pvalue,0.4894261
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
analysis_id,r492n500rb2k7g2
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
