gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.8034134
parameter_id,IMPC_CSD_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,v511s97c3k0b06o
parameter_name,Coat - hair distribution - head
