analysis_id,3cin84lz4q9t94f
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_026_001_004
pvalue,0.9083355
parameter_name,Coat colouration
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
