analysis_id,f1d3082b6739770
gene_symbol,Tubb4b
parameter_id,HRWLLA_OFD_010_001
mouse_life_stage,Early adult
mouse_strain,C56BL
parameter_name,Periphery distance travelled
pvalue,0.8625738
gene_accession_id,MGI:1915472
