analysis_id,s3o47k0b5x43i9r
mouse_life_stage,Early adult
gene_symbol,Snap23
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.1964532
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:109356
