analysis_id,p668n5jn830qxf4
parameter_name,Light side time spent
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
gene_symbol,F2
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
pvalue,0.7239842
