parameter_name,Time mobile dark side
parameter_id,JAX_LDT_005_001
pvalue,0.7221065
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
gene_symbol,Eprs1
analysis_id,z99j69778uw98bc
