gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,IMPC_EYE_068_001
parameter_name,Left total retinal thickness
mouse_life_stage,E15.5
pvalue,0.62721
analysis_id,l88b992k924s7vn
mouse_strain,C57BL
