parameter_name,Ventral coat/hair presence
pvalue,0.8449599
mouse_life_stage,Early adult
analysis_id,4fu0232t4838u72
gene_accession_id,MGI:1920638
parameter_id,MGP_CSD_025_001
mouse_strain,129SV
gene_symbol,Bpifa3
