analysis_id,6h27z87wx2qk5f0
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cleft palate
parameter_id,IMPC_GEP_076_001
pvalue,0.6162481
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
